c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,class
0.266,0.147,0.083,0.313,0.236,1,0.467,0.55,0.354,0.156,0.233,0.216,0.277,0.222,0,0.438,0.137,0.003,0.017,0.912,0.922,0.803,0.292,0.009,1
0.288,0.199,0.199,0.43,0.433,0.796,0.541,0.612,0.355,0.183,0.2,0.333,0.336,0.222,0.193,0.089,0.169,0.041,0.169,0.775,0.779,0.78,0.274,0.134,0
0.217,0.369,0.14,0.218,0.317,0.792,0.549,0.528,0.283,0.101,0.433,0.098,0.208,0.333,0.233,0.476,0.11,0.04,0.17,0.623,0.629,0.648,0.237,0.115,0
0.208,0.306,0.114,0.291,0.23,0.83,0.462,0.585,0.434,0.098,0.3,0.255,0.277,0.333,0.186,0.4,0.169,0.039,0.163,0.704,0.71,0.764,0.278,0.089,0
0.273,0.403,0.256,0.386,0.216,0.642,0.115,0.584,0.367,0.178,0.1,0.412,0.318,0.333,0.374,0.355,0.612,0.181,0.453,0.736,0.735,0.469,0.191,0.248,1
0.299,0.341,0.227,0.241,0.332,0.687,0.449,0.529,0.348,0.119,0.167,0.333,0.261,0.222,0.321,0.221,0.278,0.091,0.305,0.827,0.825,0.098,0.148,0.153,0
0.248,0.392,0.272,0.295,0.388,0.693,0.556,0.505,0.369,0.191,0.233,0.333,0.33,0.333,0.326,0.247,0.217,0.082,0.284,0.884,0.881,0.803,0.296,0.192,1
0.29,0.388,0.307,0.331,0.343,0.675,0.411,0.442,0.489,0.292,0.267,0.353,0.405,0.444,0.342,0.418,0.381,0.117,0.348,0.823,0.821,0.73,0.268,0.205,0
0.255,0.374,0.129,0.141,0.186,0.861,0.395,0.476,0.288,0.094,0.467,0.02,0.117,0.222,0.172,0.781,0.244,0.045,0.186,0.842,0.846,0.821,0.313,0.078,0
0.257,0.411,0.116,0.14,0.3,0.877,0.441,0.463,0.256,0.108,0.433,0.059,0.133,0.222,0.166,0.606,0.19,0.037,0.16,0.834,0.838,0.821,0.306,0.079,1
0.408,0.382,0.097,0.132,0.159,0.889,0.502,0.472,0.269,0.091,0.433,0.039,0.104,0.222,0.149,0.847,0.117,0.025,0.117,0.742,0.748,0.829,0.316,0.075,1
0.554,0.27,0.108,0.168,0.202,0.881,0.459,0.478,0.295,0.115,0.333,0.157,0.208,0.222,0.132,0.488,0.166,0.027,0.126,0.748,0.755,0.813,0.316,0.03,1
0.441,0.115,0.151,0.275,0.245,0.726,0.266,0.474,0.348,0.209,0.133,0.549,0.567,0.333,0.238,0,0.382,0.079,0.273,0.741,0.745,0.803,0.29,0.126,0
0.266,0.202,0.276,0.295,0.342,0.643,0.448,0.27,0.568,0.454,0.033,0.863,0.942,0.444,0.331,0.054,0.321,0.101,0.329,0.689,0.69,0.78,0.288,0.215,1
0.35,0.304,0.303,0.304,0.409,0.49,0.269,0.241,0.573,0.493,0.167,0.647,0.601,0.556,0.489,0.156,0.509,0.216,0.492,0.59,0.586,0.23,0.173,0.32,1
0.395,0.348,0.277,0.378,0.323,0.693,0.55,0.516,0.602,0.248,0.467,0.078,0.226,0.333,0.317,0.613,0.226,0.088,0.278,0.637,0.64,0.476,0.216,0.187,0
0.135,0.342,0.166,0.253,0.272,0.77,0.385,0.583,0.411,0.068,0.467,0.078,0.11,0.333,0.247,0.353,0.285,0.072,0.246,0.602,0.608,0.575,0.266,0.184,0
0.266,0.218,0.225,0.352,0.202,0.697,0.351,0.638,0.434,0.089,0.3,0.275,0.221,0.333,0.287,0.257,0.367,0.095,0.306,0.604,0.608,0.829,0.319,0.191,1
0.381,0.226,0.298,0.302,0.139,0.477,0.302,0.558,0.404,0.137,0.433,0.196,0.157,0.333,0.485,0.636,0.474,0.209,0.498,0.518,0.517,0.764,0.316,0.338,0
0.211,0.328,0.471,1,0.706,0.511,0.709,1,0.509,0.226,0.5,0.157,0.232,0.333,0.476,0.602,0.246,0.162,0.402,0.491,0.49,0.526,0.231,0.316,1
0.401,0.396,0.409,0.358,1,0.651,0.792,0.639,0.348,0.094,0.4,0.098,0.173,0.111,0.365,0.278,0.116,0.074,0.264,0.594,0.595,0.78,0.325,0.247,0
0.204,0.449,0.352,0.284,0.536,0.647,0.639,0.53,0.434,0.154,0.467,0.098,0.168,0.333,0.38,0.441,0.209,0.103,0.314,0.528,0.53,0.821,0.307,0.251,0
0.257,0.474,0.17,0.13,0.218,0.691,0.683,0.521,0.363,0.035,0.433,0.039,0.082,0.222,0.345,0.33,0.012,0.052,0.204,0.766,0.764,0.746,0.342,0.258,0
0.131,0.424,0.27,0.529,0.393,0.59,0.638,0.706,0.353,0.162,0.233,0.353,0.352,0.222,0.425,0.093,0.139,0.099,0.311,0.747,0.743,0.598,0.233,0.285,1
0.31,0.556,0.429,0.796,0.357,0.576,0.31,0.623,0.599,0.477,0.167,0.49,0.503,0.222,0.466,0.107,0.58,0.218,0.512,0.662,0.658,0.394,0.223,0.291,0
0.246,0.409,0.295,0.504,0.295,0.574,0.76,0.668,0.389,0.183,0.467,0.176,0.208,0.222,0.437,0.512,0.048,0.081,0.281,0.684,0.681,0.656,0.298,0.331,1
0.299,0.564,0.398,0.546,0.639,0.64,0.687,0.741,0.336,0.137,0.3,0.314,0.226,0.222,0.41,0.333,0.203,0.105,0.324,0.678,0.676,0.829,0.333,0.313,1
0.308,0.471,0.571,0.607,0.508,0.514,0.321,0.644,0.457,0.296,0.433,0.275,0.341,0.222,0.503,0.412,0.691,0.275,0.574,0.54,0.538,0.772,0.476,0.365,1
0.508,0.585,0.544,0.774,0.518,0.49,0.175,0.329,0.837,0.788,0.467,0.255,0.567,0.222,0.549,0.345,0.803,0.348,0.642,0.626,0.62,0.409,0.369,0.343,0
0.239,0.562,0.369,0.448,0.23,0.603,0.631,0.546,0.426,0.273,0.3,0.235,0.312,0.222,0.443,0.247,0.231,0.126,0.377,0.82,0.813,0.614,0.482,0.336,0
0.228,0.616,0.324,0.255,0.264,0.619,0.439,0.406,0.392,0.268,0.267,0.392,0.393,0.222,0.44,0.188,0.37,0.155,0.423,0.719,0.715,0.764,0.589,0.329,1
0.463,0.562,0.373,0.666,0.463,0.533,0.607,0.428,0.746,0.587,0.133,0.922,0.947,0.556,0.505,0.036,0.256,0.159,0.43,0.684,0.678,0.803,0.598,0.353,1
